DATE,M1SL
2001-08-01,1150.2
2001-09-01,1205.7
2001-10-01,1165.7
2001-11-01,1171.0
2001-12-01,1183.2
2002-01-01,1190.7
2002-02-01,1190.6
2002-03-01,1193.3
2002-04-01,1186.9
2002-05-01,1189.3
2002-06-01,1193.3
2002-07-01,1199.1
2002-08-01,1187.1
2002-09-01,1196.1
2002-10-01,1204.0
2002-11-01,1209.6
2002-12-01,1220.2
2003-01-01,1227.3
2003-02-01,1238.2
2003-03-01,1239.3
2003-04-01,1250.0
2003-05-01,1268.8
2003-06-01,1281.0
2003-07-01,1287.5
2003-08-01,1296.4
2003-09-01,1297.2
2003-10-01,1297.8
2003-11-01,1299.1
2003-12-01,1306.2
2004-01-01,1306.0
2004-02-01,1321.4
2004-03-01,1328.7
2004-04-01,1332.8
2004-05-01,1333.3
2004-06-01,1342.7
2004-07-01,1340.8
2004-08-01,1354.3
2004-09-01,1362.5
2004-10-01,1362.3
2004-11-01,1374.2
2004-12-01,1376.0
2005-01-01,1367.1
2005-02-01,1371.1
2005-03-01,1370.9
2005-04-01,1358.4
2005-05-01,1366.0
2005-06-01,1380.1
2005-07-01,1369.0
2005-08-01,1377.8
2005-09-01,1378.6
2005-10-01,1376.5
2005-11-01,1376.1
2005-12-01,1374.3
2006-01-01,1379.5
2006-02-01,1378.4
2006-03-01,1383.2
2006-04-01,1381.4
2006-05-01,1387.2
2006-06-01,1375.4
2006-07-01,1372.4
2006-08-01,1372.4
2006-09-01,1364.4
2006-10-01,1370.3
2006-11-01,1370.8
2006-12-01,1366.6
2007-01-01,1371.7
2007-02-01,1363.0
2007-03-01,1366.5
2007-04-01,1378.0
2007-05-01,1380.9
2007-06-01,1368.2
2007-07-01,1371.8
2007-08-01,1376.3
2007-09-01,1375.7
2007-10-01,1379.4
2007-11-01,1371.8
2007-12-01,1373.4
2008-01-01,1377.7
2008-02-01,1380.4
2008-03-01,1388.7
2008-04-01,1391.4
2008-05-01,1393.4
2008-06-01,1404.6
2008-07-01,1421.1
2008-08-01,1407.4
2008-09-01,1462.0
2008-10-01,1473.8
2008-11-01,1514.6
2008-12-01,1601.7
2009-01-01,1582.8
2009-02-01,1567.2
2009-03-01,1578.9
2009-04-01,1611.6
2009-05-01,1617.5
2009-06-01,1658.8
2009-07-01,1662.5
2009-08-01,1660.0
2009-09-01,1664.9
2009-10-01,1677.7
2009-11-01,1683.0
2009-12-01,1692.8
2010-01-01,1674.7
2010-02-01,1699.8
2010-03-01,1711.9
2010-04-01,1699.0
2010-05-01,1710.1
2010-06-01,1731.6
2010-07-01,1724.0
2010-08-01,1748.7
2010-09-01,1766.2
2010-10-01,1780.4
2010-11-01,1828.4
2010-12-01,1836.7
2011-01-01,1846.3
2011-02-01,1870.1
2011-03-01,1896.5
2011-04-01,1897.0
2011-05-01,1941.6
2011-06-01,1963.4
2011-07-01,1996.0
2011-08-01,2115.4
2011-09-01,2120.0
2011-10-01,2128.5
2011-11-01,2182.0
2011-12-01,2165.7
2012-01-01,2201.8
2012-02-01,2207.1
2012-03-01,2227.8
2012-04-01,2237.3
2012-05-01,2256.2
2012-06-01,2275.3
2012-07-01,2315.0
2012-08-01,2354.1
2012-09-01,2386.6
2012-10-01,2420.1
2012-11-01,2441.2
2012-12-01,2460.7
2013-01-01,2475.5
2013-02-01,2470.6
2013-03-01,2477.5
2013-04-01,2507.1
2013-05-01,2527.9
2013-06-01,2528.3
2013-07-01,2544.5
2013-08-01,2555.9
2013-09-01,2584.8
2013-10-01,2623.6
2013-11-01,2634.6
2013-12-01,2664.3
2014-01-01,2698.9
2014-02-01,2724.7
2014-03-01,2751.4
2014-04-01,2773.2
2014-05-01,2791.3
2014-06-01,2827.1
2014-07-01,2843.0
2014-08-01,2804.2
2014-09-01,2865.2
2014-10-01,2870.7
2014-11-01,2888.8
2014-12-01,2940.9
2015-01-01,2941.3
2015-02-01,3005.4
2015-03-01,2998.4
2015-04-01,2999.2
2015-05-01,2981.9
2015-06-01,3020.9
2015-07-01,3040.9
2015-08-01,3029.0
2015-09-01,3047.0
2015-10-01,3018.8
2015-11-01,3082.3
2015-12-01,3095.8
2016-01-01,3096.9
2016-02-01,3128.8
2016-03-01,3154.0
2016-04-01,3198.5
2016-05-01,3237.6
2016-06-01,3246.1
2016-07-01,3246.0
2016-08-01,3319.3
2016-09-01,3327.7
2016-10-01,3333.4
2016-11-01,3355.0
2016-12-01,3340.9
2017-01-01,3391.2
2017-02-01,3402.7
2017-03-01,3450.5
2017-04-01,3451.2
2017-05-01,3516.1
2017-06-01,3524.9
2017-07-01,3548.6
2017-08-01,3587.8
2017-09-01,3571.2
2017-10-01,3606.3
2017-11-01,3631.0
2017-12-01,3610.6
2018-01-01,3656.2
2018-02-01,3619.0
2018-03-01,3663.4
2018-04-01,3655.2
2018-05-01,3650.8
2018-06-01,3652.2
2018-07-01,3677.5
2018-08-01,3693.2
2018-09-01,3701.8
2018-10-01,3728.2
2018-11-01,3705.6
2018-12-01,3763.4
2019-01-01,3754.8
