DATE,NASDAQ100
2/26/2007,1830.59
2/27/2007,1756.27
2/28/2007,1761.65
3/1/2007,1753.45
3/2/2007,1726.03
3/5/2007,1712.94
3/6/2007,1743.1
3/7/2007,1736.1
3/8/2007,1746.43
3/9/2007,1744.74
3/12/2007,1756.42
3/13/2007,1722.48
3/14/2007,1743.15
3/15/2007,1744.87
3/16/2007,1742.23
3/19/2007,1758.23
3/20/2007,1767.25
3/21/2007,1806.35
3/22/2007,1799.75
3/23/2007,1794.04
3/26/2007,1802.95
3/27/2007,1789.93
3/28/2007,1770.54
3/29/2007,1771.72
3/30/2007,1772.36
4/2/2007,1773.33
4/3/2007,1796.31
4/4/2007,1801.74
4/5/2007,1812.94
4/6/2007,1810.11
4/9/2007,1808.19
4/10/2007,1816.93
4/11/2007,1798.09
4/12/2007,1813.49
4/13/2007,1816.85
4/16/2007,1833.96
4/17/2007,1834.91
4/18/2007,1832.39
4/19/2007,1832.47
4/20/2007,1845.89
4/23/2007,1850.18
4/24/2007,1858.87
4/25/2007,1881.33
4/26/2007,1889.57
4/27/2007,1891.06
4/30/2007,1867.75
5/1/2007,1873.43
5/2/2007,1889.73
5/3/2007,1895.64
5/4/2007,1895.7
5/7/2007,1895.96
5/8/2007,1899.83
5/9/2007,1905.65
5/10/2007,1875.2
5/11/2007,1898.79
5/14/2007,1888.08
5/15/2007,1871.79
5/16/2007,1891.57
5/17/2007,1884.68
5/18/2007,1896.93
5/21/2007,1911.16
5/22/2007,1916.45
5/23/2007,1904.41
5/24/2007,1874.6
5/25/2007,1889.25
5/28/2007,.
5/29/2007,1899.79
5/30/2007,1918.08
5/31/2007,1928.19
6/1/2007,1928.26
6/4/2007,1933.73
6/5/2007,1932.35
6/6/2007,1914.85
6/7/2007,1882.17
6/8/2007,1906.26
6/11/2007,1901.96
6/12/2007,1890.67
6/13/2007,1913.87
6/14/2007,1924.54
6/15/2007,1942.41
6/18/2007,1944.37
6/19/2007,1941.75
6/20/2007,1922.12
6/21/2007,1941.32
6/22/2007,1921.94
6/25/2007,1912.9
6/26/2007,1908.64
6/27/2007,1933.06
6/28/2007,1931.67
6/29/2007,1934.1
7/2/2007,1954.12
7/3/2007,1965.2
7/4/2007,.
7/5/2007,1981.06
7/6/2007,1988.31
