DATE,PSAVE
1947-01-01,12.595
1947-04-01,8.476
1947-07-01,12.635
1947-10-01,10.372
1948-01-01,12.763
1948-04-01,16.672
1948-07-01,19.876
1948-10-01,19.458
1949-01-01,15.143
1949-04-01,13.204
1949-07-01,13.895
1949-10-01,12.25
1950-01-01,24.168
1950-04-01,20.554
1950-07-01,13.777
1950-10-01,21.489
1951-01-01,17.543
1951-04-01,28.863
1951-07-01,29.193
1951-10-01,27.918
1952-01-01,27.357
1952-04-01,26.163
1952-07-01,30.082
1952-10-01,27.624
1953-01-01,27.936
1953-04-01,29.81
1953-07-01,29.134
1953-10-01,29.88
1954-01-01,30.581
1954-04-01,27.727
1954-07-01,26.989
1954-10-01,27.288
1955-01-01,26.238
1955-04-01,27.459
1955-07-01,29.515
1955-10-01,29.581
1956-01-01,32.065
1956-04-01,34.212
1956-07-01,35.544
1956-10-01,36.791
1957-01-01,36.089
1957-04-01,38.092
1957-07-01,37.779
1957-10-01,35.588
1958-01-01,37.174
1958-04-01,37.235
1958-07-01,39.86
1958-10-01,41.014
1959-01-01,37.871
1959-04-01,38.777
1959-07-01,34.996
1959-10-01,37.22
1960-01-01,38.266
1960-04-01,36.543
1960-07-01,38.57
1960-10-01,38.023
1961-01-01,41.746
1961-04-01,42.594
1961-07-01,46.222
1961-10-01,46.979
1962-01-01,47.437
1962-04-01,47.464
1962-07-01,46.689
1962-10-01,45.22
1963-01-01,46.175
1963-04-01,46.441
1963-07-01,45.932
1963-10-01,49.841
1964-01-01,51.083
1964-04-01,56.253
1964-07-01,54.746
1964-10-01,59.043
1965-01-01,55.548
1965-04-01,56.274
1965-07-01,62.591
1965-10-01,60.599
1966-01-01,59.459
1966-04-01,59.937
1966-07-01,61.565
1966-10-01,66.483
1967-01-01,72.234
1967-04-01,69.908
1967-07-01,73.961
1967-10-01,75.875
1968-01-01,74.194
1968-04-01,76.781
1968-07-01,68.831
1968-10-01,71.889
1969-01-01,67.448
1969-04-01,70.609
1969-07-01,82.471
1969-10-01,83.702
1970-01-01,88.257
1970-04-01,95.407
1970-07-01,102.739
1970-10-01,103.948
1971-01-01,107.689
1971-04-01,114.205
1971-07-01,113.742
1971-10-01,112.064
1972-01-01,107.356
1972-04-01,102.435
1972-07-01,108.686
1972-10-01,127.638
1973-01-01,121.706
1973-04-01,132.656
1973-07-01,136.625
1973-10-01,152.26
1974-01-01,148.705
1974-04-01,139.623
1974-07-01,140.248
1974-10-01,156.54
1975-01-01,148.642
1975-04-01,188.469
1975-07-01,158.871
1975-10-01,160.137
1976-01-01,156.309
1976-04-01,154.796
1976-07-01,155.407
1976-10-01,151.034
1977-01-01,141.85
1977-04-01,150.38
1977-07-01,160.425
1977-10-01,171.127
1978-01-01,177.613
1978-04-01,167.649
1978-07-01,176.505
1978-10-01,178.495
1979-01-01,195.039
1979-04-01,185.142
1979-07-01,182.076
1979-10-01,184.881
1980-01-01,195.772
1980-04-01,223.632
1980-07-01,234.053
1980-10-01,242.873
1981-01-01,236.564
1981-04-01,241.431
1981-07-01,282.647
1981-10-01,301.243
1982-01-01,293.21
1982-04-01,301.645
1982-07-01,302.989
1982-10-01,275.499
1983-01-01,278.356
1983-04-01,251.907
1983-07-01,251.819
1983-10-01,273.989
1984-01-01,311.815
1984-04-01,325.906
1984-07-01,346.08
1984-10-01,337.606
1985-01-01,282.656
1985-04-01,317.327
1985-07-01,256.395
1985-10-01,283.334
1986-01-01,301.165
1986-04-01,310.01
1986-07-01,281.704
1986-10-01,269.531
1987-01-01,303.011
1987-04-01,233.184
1987-07-01,260.922
1987-10-01,304.418
1988-01-01,302.995
1988-04-01,319.566
1988-07-01,330.006
1988-10-01,329.384
1989-01-01,358.042
1989-04-01,332.27
1989-07-01,325.194
1989-10-01,344.399
1990-01-01,351.872
1990-04-01,373.976
1990-07-01,360.699
1990-10-01,357.931
1991-01-01,383.438
1991-04-01,384.941
1991-07-01,386.344
1991-10-01,429.134
1992-01-01,453.817
1992-04-01,476.004
1992-07-01,452.116
1992-10-01,433.547
1993-01-01,435.356
1993-04-01,414.334
1993-07-01,372.269
1993-10-01,368.723
1994-01-01,350.38
1994-04-01,364.769
1994-07-01,357.234
1994-10-01,381.162
1995-01-01,414.042
1995-04-01,379.864
1995-07-01,381.62
1995-10-01,372.699
1996-01-01,381.489
1996-04-01,377.798
1996-07-01,390.361
1996-10-01,379.428
1997-01-01,379.132
1997-04-01,403.58
1997-07-01,378.376
1997-10-01,400.031
1998-01-01,476.91
1998-04-01,456.065
1998-07-01,443.827
1998-10-01,409.321
1999-01-01,423.059
1999-04-01,330.828
1999-07-01,313.091
1999-10-01,309.147
2000-01-01,331.676
2000-04-01,351.407
2000-07-01,371.506
2000-10-01,351.179
2001-01-01,392.34
2001-04-01,361.706
2001-07-01,507.006
2001-10-01,270.223
2002-01-01,445.745
2002-04-01,484.177
